TimeStep,ID,Latitude,Longitude,SignalStrength,CurrentBasestation,finished,Trajectory,Level
14,1238008230,43.0360819,-76.1317525,100000,8,1,-1,1
14,2076100078,43.0800091,-76.1863595,999,-1,1,-1,1
14,1670541627,43.0826257,-76.1762213,100000,15,1,-1,1
15,1670541627,43.0824917,-76.1760971,100000,15,1,-1,1
15,1225275393,43.032927,-76.1159856,100000,40,1,-1,1
15,1272770161,43.0761929,-76.1821555,999,-1,1,-1,1
15,967468509,43.037596,-76.1343815,100000,43,1,-1,1
15,1919627100,43.0801082,-76.1873884,999,-1,1,-1,1
15,366256851,43.076311,-76.1719524,100000,15,1,-1,1
15,1729298847,43.0359188,-76.1320951,100000,8,1,-1,1
15,477271251,43.0365882,-76.1302026,100000,43,1,-1,1
15,2076100078,43.079908,-76.1861868,999,-1,1,-1,1
15,1238008230,43.0359206,-76.1317729,100000,8,1,-1,1
15,648312940,43.036927,-76.1159856,100000,40,1,-1,1
15,980082749,43.0760735,-76.17928,100000,15,1,-1,1
16,967468509,43.0375245,-76.1345797,100000,43,1,-1,1
16,1238008230,43.0357593,-76.1317933,100000,8,1,-1,1
16,648312940,43.036927,-76.1160967,100000,40,1,-1,1
16,980082749,43.0759406,-76.1791536,100000,15,1,-1,1
16,477271251,43.0364753,-76.1300442,100000,43,1,-1,1
16,1272770161,43.0760635,-76.1820225,999,-1,1,-1,1
16,1670541627,43.0823577,-76.1759729,100000,15,1,-1,1
16,1919627100,43.0799464,-76.1873762,999,-1,1,-1,1
16,1729298847,43.0357573,-76.1320773,100000,8,1,-1,1
16,366256851,43.0762014,-76.1717896,100000,15,1,-1,1
16,2076100078,43.0798069,-76.1860141,999,-1,1,-1,1
16,1225275393,43.032927,-76.1160967,100000,40,1,-1,1
17,980082749,43.0758077,-76.1790272,100000,15,1,-1,1
17,2076100078,43.0797057,-76.1858414,999,-1,1,-1,1
17,477271251,43.0363622,-76.1298861,100000,43,1,-1,1
17,1225275393,43.032927,-76.1162078,999,-1,1,-1,1
17,1919627100,43.0797847,-76.187364,999,-1,1,-1,1
17,1272770161,43.0759341,-76.1818896,999,-1,1,-1,1
17,1729298847,43.0355958,-76.1320595,100000,8,1,-1,1
17,366256851,43.0760917,-76.1716269,100000,15,1,-1,1
17,648312940,43.036927,-76.1162078,100000,40,1,-1,1
17,1238008230,43.0355979,-76.1318136,100000,8,1,-1,1
17,967468509,43.0374528,-76.1347778,100000,43,1,-1,1
17,1670541627,43.0822236,-76.1758488,100000,15,1,-1,1
18,648312940,43.036927,-76.1163189,100000,43,1,-1,1
18,967468509,43.0373812,-76.1349759,100000,43,1,-1,1
18,2076100078,43.0796045,-76.1856688,999,-1,1,-1,1
18,1225275393,43.032927,-76.1163189,999,-1,1,-1,1
18,1238008230,43.0354366,-76.131834,100000,8,1,-1,1
18,1919627100,43.0796229,-76.1873518,999,-1,1,-1,1
18,1670541627,43.0820895,-76.1757247,100000,15,1,-1,1
18,366256851,43.075982,-76.1714642,100000,15,1,-1,1
18,980082749,43.0756747,-76.1789009,100000,15,1,-1,1
18,1729298847,43.0354343,-76.1320418,100000,8,1,-1,1
18,1272770161,43.0758046,-76.1817567,999,-1,1,-1,1
18,477271251,43.0362489,-76.1297281,100000,43,1,-1,1
19,139047218,43.0786924,-76.1826764,999,-1,1,-1,1
19,1670541627,43.0819554,-76.1756007,100000,15,1,-1,1
19,1272770161,43.0756751,-76.1816239,999,-1,1,-1,1
19,1238008230,43.0352752,-76.1318542,100000,8,1,-1,1
19,1919627100,43.0794611,-76.1873396,999,-1,1,-1,1
19,2076100078,43.0795033,-76.1854962,999,-1,1,-1,1
19,1225275393,43.032927,-76.11643,999,-1,1,-1,1
19,477271251,43.0361356,-76.1295703,100000,43,1,-1,1
19,980082749,43.0755418,-76.1787746,100000,15,1,-1,1
19,967468509,43.0373094,-76.135174,100000,43,1,-1,1
19,1729298847,43.0352728,-76.1320241,100000,8,1,-1,1
19,648312940,43.036927,-76.11643,100000,43,1,-1,1
19,366256851,43.0758723,-76.1713016,100000,15,1,-1,1
20,139047218,43.0785932,-76.1825015,999,-1,1,-1,1
20,967468509,43.0372377,-76.135372,100000,8,1,-1,1
20,477271251,43.036022,-76.1294127,100000,43,1,-1,1
20,82923348,43.0376528,-76.1339905,100000,43,1,-1,1
20,1272770161,43.0755456,-76.1814911,999,-1,1,-1,1
20,1225275393,43.032927,-76.11643,999,-1,1,-1,1
20,648312940,43.036927,-76.11643,100000,43,1,-1,1
20,1729298847,43.0351113,-76.1320065,100000,8,1,-1,1
20,980082749,43.0754088,-76.1786484,100000,15,1,-1,1
20,1919627100,43.0792993,-76.1873274,999,-1,1,-1,1
20,2076100078,43.079402,-76.1853237,999,-1,1,-1,1
20,1670541627,43.0818213,-76.1754767,100000,15,1,-1,1
20,366256851,43.0757625,-76.1711391,100000,15,1,-1,1
20,1238008230,43.0351139,-76.1318745,100000,8,1,-1,1
21,967468509,43.0371658,-76.13557,100000,8,1,-1,1
21,1670541627,43.0816871,-76.1753528,100000,15,1,-1,1
21,1225275393,43.032927,-76.1165411,999,-1,1,-1,1
21,1272770161,43.0754161,-76.1813583,999,-1,1,-1,1
21,1238008230,43.0349525,-76.1318947,100000,8,1,-1,1
21,82923348,43.0375729,-76.1341827,100000,43,1,-1,1
21,908954034,43.075631,-76.1853183,999,-1,1,-1,1
21,648312940,43.036927,-76.1165411,100000,43,1,-1,1
21,366256851,43.0756527,-76.1709766,100000,15,1,-1,1
21,2076100078,43.0793007,-76.1851512,999,-1,1,-1,1
21,980082749,43.0752757,-76.1785222,100000,15,1,-1,1
21,1729298847,43.0349498,-76.1319888,100000,8,1,-1,1
21,1919627100,43.0791376,-76.1873153,999,-1,1,-1,1
21,139047218,43.0784941,-76.1823267,999,-1,1,-1,1
21,477271251,43.0359083,-76.1292553,100000,43,1,-1,1
22,1225275393,43.032927,-76.1166522,999,-1,1,-1,1
22,1238008230,43.0347912,-76.1319149,100000,8,1,-1,1
22,139047218,43.0783949,-76.1821519,999,-1,1,-1,1
22,967468509,43.037094,-76.1357679,100000,8,1,-1,1
22,980082749,43.0751427,-76.1783961,100000,15,1,-1,1
22,366256851,43.0755428,-76.1708141,100000,15,1,-1,1
22,82923348,43.0374931,-76.1343749,100000,43,1,-1,1
22,2076100078,43.0791994,-76.1849788,999,-1,1,-1,1
22,477271251,43.0357945,-76.1290982,100000,43,1,-1,1
22,1729298847,43.0347883,-76.1319712,100000,8,1,-1,1
22,648312940,43.036927,-76.1166522,100000,43,1,-1,1
22,1670541627,43.0815529,-76.1752289,100000,15,1,-1,1
22,1272770161,43.0752865,-76.1812256,999,-1,1,-1,1
22,908954034,43.0754994,-76.1851893,999,-1,1,-1,1
22,1384804202,43.0379335,-76.1329144,100000,8,1,-1,1
22,1919627100,43.0789758,-76.1873031,999,-1,1,-1,1
23,1729298847,43.0346268,-76.1319536,100000,8,1,-1,1
23,908954034,43.0753679,-76.1850603,999,-1,1,-1,1
23,1384804202,43.0377732,-76.1328816,100000,8,1,-1,1
23,967468509,43.037022,-76.1359659,100000,8,1,-1,1
23,1272770161,43.0751569,-76.181093,999,-1,1,-1,1
23,82923348,43.0374131,-76.134567,100000,43,1,-1,1
23,1238008230,43.0346231,-76.1320027,100000,8,2,1,1
23,980082749,43.0750096,-76.17827,100000,15,1,-1,1
23,139047218,43.0782957,-76.1819772,999,-1,1,-1,1
23,477271251,43.0356805,-76.1289412,100000,43,1,-1,1
23,648312940,43.036927,-76.1167633,100000,43,1,-1,1
23,366256851,43.0754329,-76.1706517,100000,15,1,-1,1
23,1225275393,43.032927,-76.1167633,100000,43,1,-1,1
23,1919627100,43.078814,-76.187291,999,-1,1,-1,1
23,1670541627,43.0814187,-76.1751051,100000,15,1,-1,1
23,2076100078,43.079098,-76.1848064,999,-1,1,-1,1
24,1272770161,43.0750272,-76.1809604,999,-1,1,-1,1
24,366256851,43.0753229,-76.1704894,100000,15,1,-1,1
24,908954034,43.0752362,-76.1849314,999,-1,1,-1,1
24,1384804202,43.037613,-76.132849,100000,8,1,-1,1
24,1225275393,43.032927,-76.1168744,100000,43,1,-1,1
24,1729298847,43.0344653,-76.1319361,100000,8,1,-1,1
24,1238008230,43.0344617,-76.1320223,100000,8,1,-1,1
24,139047218,43.0781964,-76.1818025,999,-1,1,-1,1
24,980082749,43.0748765,-76.178144,100000,15,1,-1,1
24,967468509,43.03695,-76.1361637,100000,8,1,-1,1
24,477271251,43.0355664,-76.1287844,100000,43,1,-1,1
24,1670541627,43.0812844,-76.1749814,100000,15,1,-1,1
24,82923348,43.0373331,-76.1347591,100000,43,1,-1,1
24,1919627100,43.0786522,-76.1872788,999,-1,1,-1,1
24,2076100078,43.0789966,-76.184634,999,-1,1,-1,1
24,1891550152,43.0379545,-76.1331161,100000,43,1,-1,1
24,648312940,43.036927,-76.1168744,100000,43,1,-1,1
25,1729298847,43.0343038,-76.1319185,100000,8,1,-1,1
25,980082749,43.0747433,-76.1780181,100000,15,1,-1,1
25,477271251,43.0354521,-76.1286278,100000,43,1,-1,1
25,1891550152,43.0377969,-76.1330648,100000,43,1,-1,1
25,908954034,43.0751046,-76.1848026,999,-1,1,-1,1
25,139047218,43.0780971,-76.1816279,999,-1,1,-1,1
25,1225275393,43.032927,-76.1169856,100000,43,1,-1,1
25,1900942218,43.0475537,-76.2531884,999,-1,1,-1,1
25,366256851,43.0752129,-76.1703271,100000,15,1,-1,1
25,1919627100,43.0784904,-76.1872667,999,-1,1,-1,1
25,2076100078,43.0788951,-76.1844617,999,-1,1,-1,1
25,1158778164,43.0375529,-76.1313812,100000,43,1,-1,1
25,2039629231,43.0806869,-76.1883985,999,-1,1,-1,1
25,1272770161,43.0748976,-76.1808279,999,-1,1,-1,1
25,1384804202,43.0374527,-76.1328164,100000,8,1,-1,1
25,1670541627,43.0811502,-76.1748577,100000,15,1,-1,1
25,82923348,43.0372531,-76.1349511,100000,43,1,-1,1
25,1238008230,43.0343003,-76.1320419,100000,8,1,-1,1
25,648312940,43.036927,-76.1169856,100000,43,1,-1,1
25,967468509,43.036878,-76.1363616,100000,8,1,-1,1
26,648312940,43.036927,-76.1170967,100000,43,1,-1,1
26,366256851,43.0751029,-76.1701649,100000,15,1,-1,1
26,1225275393,43.032927,-76.1170967,100000,43,1,-1,1
26,2076100078,43.0787936,-76.1842894,999,-1,1,-1,1
26,2039629231,43.0805554,-76.1882695,999,-1,1,-1,1
26,1900942218,43.0474948,-76.2529826,999,-1,1,-1,1
26,1238008230,43.0341389,-76.1320615,100000,8,1,-1,1
26,1158778164,43.0373913,-76.1313969,100000,43,1,-1,1
26,139047218,43.0779977,-76.1814533,999,-1,1,-1,1
26,1272770161,43.0747679,-76.1806954,999,-1,1,-1,1
26,1729298847,43.0341422,-76.131901,100000,8,1,-1,1
26,82923348,43.037173,-76.1351431,100000,8,1,-1,1
26,980082749,43.0746102,-76.1778922,100000,15,1,-1,1
26,477271251,43.0353377,-76.1284715,100000,43,1,-1,1
26,1891550152,43.0376393,-76.1330135,100000,43,1,-1,1
26,908954034,43.0749729,-76.1846738,999,-1,1,-1,1
26,967468509,43.0368059,-76.1365594,100000,8,1,-1,1
26,1919627100,43.0783287,-76.1872546,999,-1,1,-1,1
26,1384804202,43.0372925,-76.1327838,100000,8,1,-1,1
26,1670541627,43.0810159,-76.174734,100000,15,1,-1,1
27,2076100078,43.078692,-76.1841171,999,-1,1,-1,1
27,139047218,43.0778983,-76.1812788,999,-1,1,-1,1
27,1238008230,43.0339775,-76.1320811,100000,8,1,-1,1
27,980082749,43.074477,-76.1777663,100000,15,1,-1,1
27,1900942218,43.0474358,-76.2527769,999,-1,1,-1,1
27,1158778164,43.0372297,-76.1314127,100000,43,1,-1,1
27,1384804202,43.0371322,-76.1327514,100000,8,1,-1,1
27,477271251,43.0352231,-76.1283153,100000,43,1,-1,1
27,967468509,43.0367338,-76.1367572,100000,8,1,-1,1
27,82923348,43.0370928,-76.1353351,100000,8,1,-1,1
27,1919627100,43.0781669,-76.1872425,999,-1,1,-1,1
27,1729298847,43.0339807,-76.1318836,100000,8,1,-1,1
27,908954034,43.0748412,-76.1845451,999,-1,1,-1,1
27,648312940,43.036927,-76.1172078,100000,43,1,-1,1
27,366256851,43.0749928,-76.1700027,100000,15,1,-1,1
27,1122254690,43.0759598,-76.1745937,100000,15,1,-1,1
27,1891550152,43.0374817,-76.1329623,100000,43,1,-1,1
27,2039629231,43.0804238,-76.1881406,999,-1,1,-1,1
27,1225275393,43.032927,-76.1172078,100000,43,1,-1,1
27,1272770161,43.0746382,-76.180563,999,-1,1,-1,1
27,1670541627,43.0808815,-76.1746104,100000,15,1,-1,1
28,1122254690,43.075819,-76.1744846,100000,15,1,-1,1
28,1238008230,43.0338161,-76.1321006,100000,8,1,-1,1
28,366256851,43.0748827,-76.1698406,100000,15,1,-1,1
28,82923348,43.0370126,-76.135527,100000,8,1,-1,1
28,1225275393,43.032927,-76.1173189,100000,43,1,-1,1
28,1158778164,43.0370681,-76.1314284,100000,43,1,-1,1
28,908954034,43.0747095,-76.1844164,999,-1,1,-1,1
28,1272770161,43.0745084,-76.1804306,999,-1,1,-1,1
28,2076100078,43.0785905,-76.183945,999,-1,1,-1,1
28,1729298847,43.0338192,-76.1318661,100000,8,1,-1,1
28,967468509,43.0366616,-76.1369549,100000,8,1,-1,1
28,477271251,43.0351083,-76.1281594,100000,43,1,-1,1
28,139047218,43.0777989,-76.1811042,999,-1,1,-1,1
28,1900942218,43.0473767,-76.2525711,999,-1,1,-1,1
28,980082749,43.0743437,-76.1776405,100000,15,1,-1,1
28,1384804202,43.0369796,-76.1326213,100000,43,2,1,1
28,1670541627,43.0807472,-76.1744869,100000,15,1,-1,1
28,1919627100,43.0780051,-76.1872304,999,-1,1,-1,1
28,2039629231,43.0802921,-76.1880117,999,-1,1,-1,1
28,1891550152,43.0373544,-76.1327888,100000,43,2,1,1
28,648312940,43.036927,-76.1173189,100000,43,1,-1,1
29,366256851,43.0747725,-76.1696786,100000,15,1,-1,1
29,1729298847,43.0336577,-76.1318487,100000,8,1,-1,1
29,1670541627,43.0806128,-76.1743634,100000,15,1,-1,1
29,1384804202,43.0368255,-76.1324943,100000,43,2,1,1
29,967468509,43.0365893,-76.1371526,100000,8,1,-1,1
29,1900942218,43.0473177,-76.2523654,999,-1,1,-1,1
29,648312940,43.036927,-76.11743,100000,43,1,-1,1
29,1891550152,43.037226,-76.1326168,100000,43,2,1,1
29,1272770161,43.0743786,-76.1802983,999,-1,1,-1,1
29,82923348,43.0369323,-76.1357189,100000,8,1,-1,1
29,1919627100,43.0778433,-76.1872183,999,-1,1,-1,1
29,980082749,43.0742105,-76.1775148,100000,15,1,-1,1
29,2039629231,43.0801605,-76.1878829,999,-1,1,-1,1
29,908954034,43.0745777,-76.1842877,999,-1,1,-1,1
29,2076100078,43.0784888,-76.1837728,999,-1,1,-1,1
29,1225275393,43.032927,-76.11743,100000,43,1,-1,1
29,1158778164,43.0369065,-76.1314441,100000,43,1,-1,1
29,477271251,43.0349934,-76.1280036,100000,43,1,-1,1
29,1238008230,43.0336547,-76.13212,100000,8,1,-1,1
29,139047218,43.0776994,-76.1809298,999,-1,1,-1,1
29,1122254690,43.075678,-76.1743755,100000,15,1,-1,1
30,1272770161,43.0742488,-76.180166,999,-1,1,-1,1
30,648312940,43.036927,-76.11743,100000,43,1,-1,1
30,1238008230,43.0334933,-76.1321395,100000,8,1,-1,1
30,908954034,43.074446,-76.1841592,999,-1,1,-1,1
30,1891550152,43.0370966,-76.1324463,100000,43,2,1,1
30,1158778164,43.0367449,-76.1314598,100000,43,1,-1,1
30,477271251,43.0348784,-76.1278481,100000,43,1,-1,1
30,82923348,43.036852,-76.1359107,100000,8,1,-1,1
30,1729298847,43.0334962,-76.1318313,100000,8,1,-1,1
30,2039629231,43.0800288,-76.1877541,999,-1,1,-1,1
30,366256851,43.0746623,-76.1695166,100000,15,1,-1,1
30,1225275393,43.032927,-76.11743,100000,43,1,-1,1
30,967468509,43.036517,-76.1373503,100000,8,1,-1,1
30,1122254690,43.0755371,-76.1742665,100000,15,1,-1,1
30,1670541627,43.0804784,-76.1742399,100000,15,1,-1,1
30,1919627100,43.0776815,-76.1872063,999,-1,1,-1,1
30,1900942218,43.0472586,-76.2521597,999,-1,1,-1,1
30,980082749,43.0740772,-76.1773891,100000,15,1,-1,1
30,139047218,43.0775999,-76.1807554,999,-1,1,-1,1
30,1384804202,43.0366722,-76.1323655,100000,43,2,1,1
30,2076100078,43.0783872,-76.1836007,999,-1,1,-1,1
31,82923348,43.0367716,-76.1361025,100000,8,1,-1,1
31,1900942218,43.0471995,-76.251954,999,-1,1,-1,1
31,908954034,43.0743141,-76.1840306,999,-1,1,-1,1
31,366256851,43.074552,-76.1693546,100000,15,1,-1,1
31,648312940,43.036927,-76.1175411,100000,43,1,-1,1
31,1729298847,43.0333346,-76.1318139,100000,8,1,-1,1
31,1272770161,43.074119,-76.1800338,999,-1,1,-1,1
31,1670541627,43.080344,-76.1741165,100000,15,1,-1,1
31,967468509,43.0364446,-76.1375479,100000,8,1,-1,1
31,477271251,43.0347632,-76.1276928,100000,43,1,-1,1
31,2039629231,43.0798971,-76.1876254,999,-1,1,-1,1
31,139047218,43.0775003,-76.180581,999,-1,1,-1,1
31,1384804202,43.0365176,-76.1322399,100000,43,2,1,1
31,2076100078,43.0782855,-76.1834286,999,-1,1,-1,1
31,1122254690,43.0753961,-76.1741575,100000,15,1,-1,1
31,1158778164,43.0365832,-76.1314754,100000,43,1,-1,1
31,1225275393,43.032927,-76.1175411,100000,43,1,-1,1
31,1919627100,43.0775197,-76.1871942,999,-1,1,-1,1
31,980082749,43.0739439,-76.1772635,100000,15,1,-1,1
31,1891550152,43.036966,-76.1322773,100000,43,2,1,1
31,1238008230,43.0333319,-76.1321589,100000,8,1,-1,1
32,1122254690,43.0752551,-76.1740486,100000,15,1,-1,1
32,2039629231,43.0797653,-76.1874967,999,-1,1,-1,1
32,908954034,43.0741823,-76.1839022,999,-1,1,-1,1
32,1900942218,43.0471403,-76.2517483,999,-1,1,-1,1
32,1225275393,43.032927,-76.1176522,100000,43,1,-1,1
32,1384804202,43.036357,-76.1322103,100000,43,1,-1,1
32,1238008230,43.0331705,-76.1321782,100000,8,1,-1,1
32,82923348,43.0366912,-76.1362942,100000,8,1,-1,1
32,1919627100,43.077358,-76.1871822,999,-1,1,-1,1
32,967468509,43.0363722,-76.1377455,100000,8,1,-1,1
32,1670541627,43.0802095,-76.1739932,100000,15,1,-1,1
32,1272770161,43.0739892,-76.1799016,999,-1,1,-1,1
32,980082749,43.0738106,-76.1771379,100000,15,1,-1,1
32,477271251,43.0346478,-76.1275378,100000,43,1,-1,1
32,648312940,43.036927,-76.1176522,100000,43,1,-1,1
32,1158778164,43.0364216,-76.1314911,100000,43,1,-1,1
32,1729298847,43.0331731,-76.1317966,100000,8,1,-1,1
32,1937631765,43.0377853,-76.0300167,999,-1,1,-1,1
32,1891550152,43.0368079,-76.1322291,100000,43,1,-1,1
32,366256851,43.0744417,-76.1691928,100000,15,1,-1,1
32,2076100078,43.0781837,-76.1832566,999,-1,1,-1,1
32,139047218,43.0774008,-76.1804066,999,-1,1,-1,1
33,1891550152,43.0366498,-76.1321809,100000,43,1,-1,1
33,1900942218,43.0470812,-76.2515427,999,-1,1,-1,1
33,1670541627,43.080075,-76.1738699,100000,15,1,-1,1
33,1937631765,43.0377576,-76.0302343,999,-1,1,-1,1
33,2039629231,43.0796335,-76.1873681,999,-1,1,-1,1
33,1238008230,43.0330091,-76.1321975,100000,8,1,-1,1
33,139047218,43.0773011,-76.1802323,999,-1,1,-1,1
33,1122254690,43.0751141,-76.1739397,100000,15,1,-1,1
33,908954034,43.0740504,-76.1837738,999,-1,1,-1,1
33,1919627100,43.0771962,-76.1871701,999,-1,1,-1,1
33,980082749,43.0736772,-76.1770124,100000,15,1,-1,1
33,1272770161,43.0738593,-76.1797695,999,-1,1,-1,1
33,1225275393,43.032927,-76.1177633,100000,43,1,-1,1
33,82923348,43.0366106,-76.1364859,100000,8,1,-1,1
33,2076100078,43.078082,-76.1830846,999,-1,1,-1,1
33,1729298847,43.0330116,-76.1317793,100000,8,1,-1,1
33,366256851,43.0743313,-76.1690309,100000,15,1,-1,1
33,648312940,43.036927,-76.1177633,100000,43,1,-1,1
33,1384804202,43.0361964,-76.1321807,100000,43,1,-1,1
33,1158778164,43.03626,-76.1315067,100000,43,1,-1,1
33,967468509,43.0362997,-76.137943,100000,8,1,-1,1
33,477271251,43.0345322,-76.1273829,100000,43,1,-1,1
34,1670541627,43.0799405,-76.1737467,100000,15,1,-1,1
34,908954034,43.0739185,-76.1836454,999,-1,1,-1,1
34,1238008230,43.0328477,-76.1322168,100000,8,1,-1,1
34,1225275393,43.032927,-76.1178744,100000,43,1,-1,1
34,648312940,43.036927,-76.1178744,100000,43,1,-1,1
34,1919627100,43.0770344,-76.1871581,999,-1,1,-1,1
34,967468509,43.0362272,-76.1381405,100000,8,1,-1,1
34,1122254690,43.0749731,-76.173831,100000,15,1,-1,1
34,1891550152,43.0364916,-76.1321328,100000,43,1,-1,1
34,139047218,43.0772014,-76.1800581,999,-1,1,-1,1
34,1272770161,43.0737294,-76.1796374,999,-1,1,-1,1
34,1900942218,43.047022,-76.251337,999,-1,1,-1,1
34,1729298847,43.0328501,-76.131762,100000,8,1,-1,1
34,82923348,43.0365301,-76.1366775,100000,8,1,-1,1
34,1937631765,43.0377299,-76.030452,999,-1,1,-1,1
34,1384804202,43.0360358,-76.1321513,100000,8,1,-1,1
34,366256851,43.0742209,-76.1688692,100000,15,1,-1,1
34,1158778164,43.0360984,-76.1315222,100000,43,1,-1,1
34,477271251,43.0344165,-76.1272283,100000,43,1,-1,1
34,980082749,43.0735439,-76.1768869,100000,15,1,-1,1
34,2076100078,43.0779801,-76.1829127,999,-1,1,-1,1
34,2039629231,43.0795018,-76.1872396,999,-1,1,-1,1
35,82923348,43.0364494,-76.1368691,100000,8,1,-1,1
35,139047218,43.0771017,-76.1798839,999,-1,1,-1,1
35,1937631765,43.0377021,-76.0306696,999,-1,1,-1,1
35,1238008230,43.0326863,-76.1322361,100000,8,1,-1,1
35,477271251,43.0343007,-76.1270739,100000,43,1,-1,1
35,2039629231,43.0793699,-76.1871111,999,-1,1,-1,1
35,1122254690,43.074832,-76.1737222,100000,15,1,-1,1
35,648312940,43.036927,-76.1179856,100000,43,1,-1,1
35,1670541627,43.079806,-76.1736236,100000,15,1,-1,1
35,1384804202,43.0358753,-76.1321218,100000,8,1,-1,1
35,1900942218,43.0469628,-76.2511314,999,-1,1,-1,1
