TimeStep,ID,Latitude,Longitude,finished,level
291,62,43.0390959,-76.2095589,1,4
292,62,43.0403544,-76.2095589,1,4
293,62,43.0416130,-76.2095589,1,4
294,62,43.0428715,-76.2095589,1,4
295,62,43.0441300,-76.2095589,1,4
296,62,43.0453885,-76.2095589,1,4
297,62,43.0466470,-76.2095589,1,4
298,62,43.0479056,-76.2095589,1,4
299,62,43.0491641,-76.2095589,1,4
300,62,43.0504226,-76.2095589,1,4
301,62,43.0516811,-76.2095589,1,4
302,62,43.0529396,-76.2095589,1,4
303,62,43.0541982,-76.2095589,1,4
304,62,43.0554567,-76.2095589,1,4
305,62,43.0567152,-76.2095589,1,4
306,62,43.0579737,-76.2095589,1,4
307,62,43.0592322,-76.2095589,1,4
308,62,43.0604908,-76.2095589,1,4
309,62,43.0617493,-76.2095589,1,4
310,62,43.0630078,-76.2095589,1,4
311,62,43.0642663,-76.2095589,1,4
312,62,43.0655248,-76.2095589,1,4
313,62,43.0667834,-76.2095589,1,4
314,62,43.0680419,-76.2095589,1,4
315,62,43.0693004,-76.2095589,1,4
316,62,43.0705589,-76.2095589,1,4
317,62,43.0718174,-76.2095589,1,4
318,62,43.0730760,-76.2095589,1,4
319,62,43.0743345,-76.2095589,1,4
320,62,43.0755930,-76.2095589,1,4
321,62,43.0768515,-76.2095589,1,4
322,62,43.0781100,-76.2095589,1,4
323,62,43.0793685,-76.2095589,1,4
324,62,43.0806271,-76.2095589,1,4
325,62,43.0818856,-76.2095589,1,4
326,62,43.0831411,-76.2095589,1,4
327,62,43.0843937,-76.2095589,1,4
328,62,43.0856432,-76.2095589,1,4
329,62,43.0868898,-76.2095589,1,4
330,62,43.0881333,-76.2095589,1,4
331,62,43.0893739,-76.2095589,1,4
332,62,43.0906115,-76.2095589,1,4
333,62,43.0918461,-76.2095589,1,4
334,62,43.0930777,-76.2095589,1,4
335,62,43.0943063,-76.2095589,1,4
336,62,43.0955319,-76.2095589,1,4
337,62,43.0967545,-76.2095589,1,4
338,62,43.0979741,-76.2095589,1,4
339,62,43.0991908,-76.2095589,1,4
340,62,43.1004044,-76.2095589,1,4
341,62,43.1016109,-76.2095589,1,4
341,65,43.0625280,-76.2597052,1,4
342,62,43.1028101,-76.2095589,1,4
342,65,43.0632642,-76.2597052,1,4
343,62,43.1040021,-76.2095589,1,4
343,65,43.0640004,-76.2597052,1,4
344,62,43.1051869,-76.2095589,1,4
344,65,43.0647366,-76.2597052,1,4
