TimeStep,ID,Latitude,Longitude,finished,level
31,9,43.0308761,-76.2597052,1,2
32,9,43.0315865,-76.2597052,1,2
33,9,43.0322941,-76.2597052,1,2
34,9,43.0329989,-76.2597052,1,2
35,9,43.0337009,-76.2597052,1,2
36,9,43.0344002,-76.2597052,1,2
37,9,43.0350967,-76.2597052,1,2
38,9,43.0357904,-76.2597052,1,2
39,9,43.0364814,-76.2597052,1,2
40,9,43.0371696,-76.2597052,1,2
41,9,43.0378550,-76.2597052,1,2
42,9,43.0385377,-76.2597052,1,2
43,9,43.0392175,-76.2597052,1,2
44,9,43.0398946,-76.2597052,1,2
45,9,43.0405690,-76.2597052,1,2
46,9,43.0412405,-76.2597052,1,2
47,9,43.0419093,-76.2597052,1,2
48,9,43.0425753,-76.2597052,1,2
49,9,43.0432386,-76.2597052,1,2
50,9,43.0438991,-76.2597052,1,2
51,9,43.0445568,-76.2597052,1,2
51,15,43.0705414,-76.0186519,1,2
52,9,43.0452117,-76.2597052,1,2
52,15,43.0710850,-76.0186519,1,2
53,9,43.0458639,-76.2597052,1,2
53,15,43.0716286,-76.0186519,1,2
54,9,43.0465133,-76.2597052,1,2
54,15,43.0721723,-76.0186519,1,2
55,9,43.0471599,-76.2597052,1,2
55,15,43.0727159,-76.0186519,1,2
56,9,43.0478038,-76.2597052,1,2
56,15,43.0732596,-76.0186519,1,2
57,9,43.0484448,-76.2597052,1,2
57,15,43.0738032,-76.0186519,1,2
58,9,43.0490832,-76.2597052,1,2
58,15,43.0743469,-76.0186519,1,2
59,9,43.0497187,-76.2597052,1,2
59,15,43.0748905,-76.0186519,1,2
60,9,43.0503515,-76.2597052,1,2
60,15,43.0754341,-76.0186519,1,2
61,9,43.0509815,-76.2597052,1,2
61,15,43.0759778,-76.0186519,1,2
62,9,43.0516087,-76.2597052,1,2
62,15,43.0765214,-76.0186519,1,2
63,9,43.0522331,-76.2597052,1,2
63,15,43.0770651,-76.0186519,1,2
64,9,43.0528548,-76.2597052,1,2
64,15,43.0776087,-76.0186519,1,2
65,9,43.0534737,-76.2597052,1,2
65,15,43.0781524,-76.0186519,1,2
66,9,43.0540899,-76.2597052,1,2
66,15,43.0786960,-76.0186519,1,2
67,9,43.0547033,-76.2597052,1,2
67,15,43.0792396,-76.0186519,1,2
68,9,43.0553139,-76.2597052,1,2
68,15,43.0797833,-76.0186519,1,2
69,9,43.0559217,-76.2597052,1,2
69,15,43.0803269,-76.0186519,1,2
70,9,43.0565267,-76.2597052,1,2
70,15,43.0808706,-76.0186519,1,2
71,9,43.0571290,-76.2597052,1,2
71,15,43.0814142,-76.0186519,1,2
71,18,43.0806096,-76.0602223,1,2
72,9,43.0577286,-76.2597052,1,2
72,15,43.0819579,-76.0186519,1,2
72,18,43.0809271,-76.0602223,1,2
73,9,43.0583253,-76.2597052,1,2
73,15,43.0825015,-76.0186519,1,2
73,18,43.0812445,-76.0602223,1,2
74,9,43.0589193,-76.2597052,1,2
74,15,43.0830451,-76.0186519,1,2
74,18,43.0815619,-76.0602223,1,2
75,9,43.0595105,-76.2597052,1,2
75,15,43.0835888,-76.0186519,1,2
75,18,43.0818793,-76.0602223,1,2
76,9,43.0600989,-76.2597052,1,2
76,15,43.0841324,-76.0186519,1,2
76,18,43.0821968,-76.0602223,1,2
77,9,43.0606856,-76.2597052,1,2
77,15,43.0846761,-76.0186519,1,2
77,18,43.0825142,-76.0602223,1,2
78,9,43.0612706,-76.2597052,1,2
78,15,43.0852197,-76.0186519,1,2
78,18,43.0828316,-76.0602223,1,2
79,9,43.0618538,-76.2597052,1,2
79,15,43.0857634,-76.0186519,1,2
79,18,43.0831490,-76.0602223,1,2
80,9,43.0624352,-76.2597052,1,2
80,15,43.0863070,-76.0186519,1,2
80,18,43.0834665,-76.0602223,1,2
81,9,43.0630150,-76.2597052,1,2
81,15,43.0868506,-76.0186519,1,2
81,18,43.0837839,-76.0602223,1,2
81,20,43.0810509,-76.1381967,1,2
82,9,43.0635930,-76.2597052,1,2
82,15,43.0873943,-76.0186519,1,2
82,18,43.0841013,-76.0602223,1,2
82,20,43.0818133,-76.1381967,1,2
83,9,43.0641692,-76.2597052,1,2
83,15,43.0879379,-76.0186519,1,2
83,18,43.0844187,-76.0602223,1,2
83,20,43.0825756,-76.1381967,1,2
84,9,43.0647437,-76.2597052,1,2
84,15,43.0884816,-76.0186519,1,2
84,18,43.0847362,-76.0602223,1,2
84,20,43.0833380,-76.1381967,1,2
85,9,43.0653182,-76.2597052,1,2
85,15,43.0890252,-76.0186519,1,2
85,18,43.0850536,-76.0602223,1,2
85,20,43.0841003,-76.1381967,1,2
86,9,43.0658927,-76.2597052,1,2
86,15,43.0895689,-76.0186519,1,2
86,18,43.0853710,-76.0602223,1,2
86,20,43.0848627,-76.1381967,1,2
87,9,43.0664672,-76.2597052,1,2
87,15,43.0901125,-76.0186519,1,2
87,18,43.0856885,-76.0602223,1,2
87,20,43.0856251,-76.1381967,1,2
88,9,43.0670417,-76.2597052,1,2
88,15,43.0906562,-76.0186519,1,2
88,18,43.0860059,-76.0602223,1,2
88,20,43.0863874,-76.1381967,1,2
89,9,43.0676163,-76.2597052,1,2
89,15,43.0911998,-76.0186519,1,2
89,18,43.0863233,-76.0602223,1,2
89,20,43.0871498,-76.1381967,1,2
90,9,43.0681908,-76.2597052,1,2
90,15,43.0917434,-76.0186519,1,2
90,18,43.0866407,-76.0602223,1,2
90,20,43.0879121,-76.1381967,1,2
91,9,43.0687653,-76.2597052,1,2
91,15,43.0922871,-76.0186519,1,2
91,18,43.0869582,-76.0602223,1,2
91,20,43.0886745,-76.1381967,1,2
91,21,42.9898109,-76.2597052,1,2
92,9,43.0693398,-76.2597052,1,2
92,15,43.0928307,-76.0186519,1,2
92,18,43.0872756,-76.0602223,1,2
92,20,43.0894368,-76.1381967,1,2
92,21,42.9904143,-76.2597052,1,2
93,9,43.0699143,-76.2597052,1,2
93,15,43.0933744,-76.0186519,1,2
93,18,43.0875930,-76.0602223,1,2
93,20,43.0901992,-76.1381967,1,2
93,21,42.9910178,-76.2597052,1,2
94,9,43.0704888,-76.2597052,1,2
94,15,43.0939180,-76.0186519,1,2
94,18,43.0879104,-76.0602223,1,2
94,20,43.0909615,-76.1381967,1,2
94,21,42.9916212,-76.2597052,1,2
95,9,43.0710633,-76.2597052,1,2
95,15,43.0944617,-76.0186519,1,2
95,18,43.0882279,-76.0602223,1,2
95,20,43.0917239,-76.1381967,1,2
95,21,42.9922246,-76.2597052,1,2
96,9,43.0716378,-76.2597052,1,2
96,15,43.0950053,-76.0186519,1,2
96,18,43.0885453,-76.0602223,1,2
96,20,43.0924862,-76.1381967,1,2
96,21,42.9928281,-76.2597052,1,2
97,9,43.0722123,-76.2597052,1,2
97,15,43.0955489,-76.0186519,1,2
97,18,43.0888627,-76.0602223,1,2
97,20,43.0932486,-76.1381967,1,2
97,21,42.9934315,-76.2597052,1,2
98,9,43.0727868,-76.2597052,1,2
98,15,43.0960926,-76.0186519,1,2
98,18,43.0891802,-76.0602223,1,2
98,20,43.0940109,-76.1381967,1,2
98,21,42.9940349,-76.2597052,1,2
99,9,43.0733613,-76.2597052,1,2
99,15,43.0966362,-76.0186519,1,2
99,18,43.0894976,-76.0602223,1,2
99,20,43.0947733,-76.1381967,1,2
99,21,42.9946384,-76.2597052,1,2
100,9,43.0739358,-76.2597052,1,2
100,15,43.0971799,-76.0186519,1,2
100,18,43.0898150,-76.0602223,1,2
100,20,43.0955356,-76.1381967,1,2
100,21,42.9952418,-76.2597052,1,2
101,9,43.0745104,-76.2597052,1,2
101,15,43.0977235,-76.0186519,1,2
101,18,43.0901324,-76.0602223,1,2
101,20,43.0962980,-76.1381967,1,2
101,21,42.9958452,-76.2597052,1,2
101,22,43.0627973,-76.0185838,1,2
102,9,43.0750849,-76.2597052,1,2
102,15,43.0982672,-76.0186519,1,2
102,18,43.0904499,-76.0602223,1,2
102,20,43.0970603,-76.1381967,1,2
102,21,42.9964486,-76.2597052,1,2
102,22,43.0633098,-76.0184818,1,2
103,9,43.0756594,-76.2597052,1,2
103,15,43.0988108,-76.0186519,1,2
103,18,43.0907673,-76.0602223,1,2
103,20,43.0978227,-76.1381967,1,2
103,21,42.9970521,-76.2597052,1,2
103,22,43.0638181,-76.0183462,1,2
104,9,43.0762339,-76.2597052,1,2
104,15,43.0993544,-76.0186519,1,2
104,18,43.0910847,-76.0602223,1,2
104,20,43.0985850,-76.1381967,1,2
104,21,42.9976555,-76.2597052,1,2
