Time_Step,UAV_ID,Latitude,Longitude,Signal_strength,Current_Basestation,Finished,Trajectory
4.0,399946122.0,43.0756532,-76.17999809999999,100000.0,15.0,1.0,-1.0
5.0,1829063256.0,43.037322100000004,-76.1319348,100000.0,27.0,1.0,-1.0
5.0,78057064.0,43.0444506,-76.25526690000001,100000.0,24.0,1.0,-1.0
5.0,399946122.0,43.0752508,-76.1800614,100000.0,15.0,1.0,-1.0
6.0,1256945272.0,43.0753999,-76.1818411,100000.0,15.0,1.0,-1.0
6.0,399946122.0,43.0748484,-76.1801245,100000.0,15.0,1.0,-1.0
6.0,1829063256.0,43.0370595,-76.13151429999999,100000.0,27.0,1.0,-1.0
6.0,78057064.0,43.044312100000006,-76.2547479,100000.0,24.0,1.0,-1.0
7.0,1256945272.0,43.0749968,-76.18189609999999,100000.0,15.0,1.0,-1.0
7.0,78057064.0,43.0441735,-76.25422900000001,100000.0,24.0,1.0,-1.0
7.0,399946122.0,43.074446,-76.1801875,100000.0,15.0,1.0,-1.0
7.0,1829063256.0,43.036796200000005,-76.1310947,100000.0,27.0,1.0,-1.0
7.0,97109121.0,43.0380357,-76.1296953,100000.0,22.0,1.0,-1.0
8.0,97109121.0,43.037738399999995,-76.12932020000001,100000.0,22.0,1.0,-1.0
8.0,399946122.0,43.0740435,-76.1802503,100000.0,15.0,1.0,-1.0
8.0,1829063256.0,43.036532,-76.13067609999999,100000.0,27.0,1.0,-1.0
8.0,1256945272.0,43.074593799999995,-76.181951,100000.0,15.0,1.0,-1.0
8.0,78057064.0,43.0440347,-76.2537102,100000.0,36.0,1.0,-1.0
9.0,97109121.0,43.0374404,-76.1289463,100000.0,22.0,1.0,-1.0
9.0,78057064.0,43.0438958,-76.2531914,100000.0,36.0,1.0,-1.0
9.0,399946122.0,43.0736411,-76.180313,100000.0,15.0,1.0,-1.0
9.0,1829063256.0,43.036266999999995,-76.1302585,100000.0,27.0,1.0,-1.0
9.0,1256945272.0,43.0741907,-76.1820058,100000.0,15.0,1.0,-1.0
10.0,1595342449.0,43.03753629999999,-76.13074940000001,100000.0,22.0,1.0,-1.0
10.0,399946122.0,43.0732386,-76.18037559999999,100000.0,15.0,1.0,-1.0
