TimeStep,ID,Latitude,Longitude,Altitude,SignalStrength,CurrentBasestation,finished,Trajectory
53,998966060,43.0456589,-76.2541181,4,999,-1,1,-1
54,528871576,43.0790065,-76.1814168,4,132.3910259,7,1,-1
54,1458493498,43.0313778,-76.1249695,4,136.1031881,1,1,-1
54,2030645982,43.0274258,-76.0328362,4,999,-1,1,-1
54,1708706542,43.0279355,-76.0449677,4,999,-1,1,-1
55,72524579,43.0326497,-76.1326138,4,133.4694435,1,1,-1
55,998966060,43.0456036,-76.2536827,4,999,-1,1,-1
55,757675095,43.0728169,-76.169597,4,119.7547633,7,1,-1
56,60575480,43.047744,-76.2353178,4,136.1378045,9,1,-1
56,72524579,43.0324883,-76.1325953,4,133.6223385,1,1,-1
56,799714932,43.0370633,-76.1347973,4,128.1572695,1,1,-1
56,528871576,43.0786846,-76.1814678,4,999,-1,1,-1
57,1947862555,43.0337723,-76.1342068,4,132.204101,1,2,1
57,1707145787,43.0794243,-76.1744007,4,130.844563,7,1,-1
57,528871576,43.0785237,-76.1814932,4,131.9969235,7,1,-1
58,757675095,43.0725026,-76.1690913,4,119.4068807,7,1,-1
58,1947862555,43.0336103,-76.1342104,4,132.3720998,1,2,1
58,1458493498,43.0309448,-76.1243123,4,136.568867,1,1,-1
58,72524579,43.0321654,-76.1325584,4,133.9228805,1,1,-1
59,528871576,43.0782018,-76.181544,4,131.732181,7,1,-1
59,1509440266,43.0360937,-76.1326009,4,129.8246896,1,1,-1
59,60575480,43.0475347,-76.2347196,4,136.063248,9,1,-1
60,2030645982,43.0271187,-76.0340934,4,999,-1,1,-1
60,60575480,43.0474649,-76.2345202,4,136.0407188,9,1,-1
60,998966060,43.0454651,-76.2525944,4,999,-1,1,-1
60,1458493498,43.030727,-76.1239851,4,136.7967622,1,1,-1
61,1737904745,43.070145,-76.1697383,4,111.4124432,7,1,-1
61,1509440266,43.0359019,-76.1322448,4,130.1298698,1,1,-1
61,528871576,43.0778799,-76.1815947,4,131.4661323,7,1,-1
61,72524579,43.031681,-76.1325032,4,134.3611528,1,1,-1
62,1509440266,43.0358058,-76.132067,4,130.2819564,1,1,-1
62,1458493498,43.0305085,-76.123659,4,137.0214476,1,1,-1
62,1424164685,43.0370476,-76.1318829,4,128.9378847,1,1,-1
62,1947862555,43.0329622,-76.1342247,4,999,-1,2,1
63,528871576,43.077558,-76.1816454,4,131.1990789,7,1,-1
63,1424164685,43.036982,-76.1320849,4,128.9612901,1,1,-1
63,1509440266,43.0357095,-76.1318894,4,130.4336327,1,1,-1
63,1708706542,43.0277436,-76.0469381,4,999,-1,1,-1
64,923988192,43.0509156,-76.2420997,4,137.2718428,9,1,-1
64,1947862555,43.0326382,-76.1342318,4,133.3374689,1,2,1
64,757675095,43.0718727,-76.1680812,4,119.1086457,7,1,-1
64,1424164685,43.0369165,-76.1322869,4,128.9883184,1,1,-1
65,1708706542,43.0277008,-76.0473759,4,999,-1,1,-1
65,998966060,43.0453263,-76.2515062,4,999,-1,1,-1
65,1707145787,43.078279,-76.1735726,4,129.3483526,7,1,-1
65,799714932,43.0356625,-76.1342445,4,130.0610804,1,1,-1
66,799714932,43.0355068,-76.1341835,4,130.2570334,1,1,-1
66,528871576,43.0770751,-76.1817212,4,999,-1,1,-1
66,757675095,43.0716624,-76.1677449,4,119.1380998,7,1,-1
66,1947862555,43.0323142,-76.1342389,4,133.6441503,1,2,1
67,923988192,43.0508064,-76.2414539,4,137.0346489,9,1,-1
67,757675095,43.0715572,-76.1675769,4,119.1771712,7,1,-1
67,2030645982,43.0267592,-76.0355596,4,999,-1,1,-1
67,1737904745,43.0692579,-76.1691959,4,110.5261209,7,1,-1
68,757675095,43.0714519,-76.1674089,4,119.232125,7,1,-1
68,60575480,43.0469053,-76.232926,4,135.9039968,9,1,-1
68,1737904745,43.06911,-76.1691057,4,110.5833803,7,1,-1
68,528871576,43.0767531,-76.1817716,4,130.5294395,7,1,-1
69,923988192,43.0507336,-76.2410233,4,136.8770453,9,1,-1
69,1737904745,43.0689621,-76.1690156,4,110.7004339,7,1,-1
69,1707145787,43.0777059,-76.1731599,4,128.5414775,7,1,-1
69,799714932,43.0350395,-76.1340011,4,130.8283864,1,1,-1
70,1707145787,43.0775625,-76.1730569,4,128.3331147,7,1,-1
70,799714932,43.0348837,-76.1339405,4,131.0135789,1,1,-1
70,234184799,43.0303612,-76.1221167,4,137.4626009,8,1,-1
70,60575480,43.0467652,-76.2325277,4,135.8822563,9,1,-1
71,1737904745,43.0686661,-76.1688355,4,111.099986,7,1,-1
71,1947862555,43.0315042,-76.1342565,4,134.3809649,1,2,1
71,72524579,43.0300662,-76.1323217,4,135.7244107,1,1,-1
71,2030645982,43.0265531,-76.0363971,4,999,-1,1,-1
72,1947862555,43.0313422,-76.1342601,4,134.5234998,1,2,1
72,1458493498,43.0294028,-76.1220446,4,136.8753344,8,1,-1
72,998966060,43.0451315,-76.2499828,4,999,-1,1,-1
72,60575480,43.0466249,-76.2321294,4,135.8656114,9,1,-1
72,2030645982,43.0265016,-76.0366065,4,999,-1,1,-1
73,72524579,43.0297432,-76.1322858,4,135.9808171,1,1,-1
73,1458493498,43.029291,-76.1218847,4,136.7580916,8,1,-1
73,1707145787,43.0771323,-76.1727482,4,127.6912992,7,1,-1
73,1509440266,43.0347379,-76.1301219,4,131.9185033,1,1,-1
74,1509440266,43.0346398,-76.1299461,4,132.0631016,1,1,-1
74,60575480,43.0464845,-76.2317312,4,135.8541018,9,1,-1
74,1691499641,43.0804551,-76.1751613,4,131.9734962,7,1,-1
74,1424164685,43.036258,-76.1343051,4,129.4454856,1,1,-1
74,1737904745,43.0682221,-76.1685658,4,112.0343055,7,1,-1
75,1947862555,43.0308562,-76.1342705,4,134.9420569,1,2,1
75,1707145787,43.0768455,-76.1725426,4,127.2490069,7,1,-1
75,1708706542,43.0274865,-76.049565,4,999,-1,1,-1
75,1458493498,43.0290667,-76.121566,4,136.5203754,8,1,-1
76,528871576,43.0754653,-76.1819724,4,129.4676252,7,1,-1
76,1947862555,43.0306942,-76.134274,4,135.0786641,1,2,1
76,1691499641,43.0803961,-76.1747267,4,131.8510527,7,1,-1
76,998966060,43.0450199,-76.2491124,4,999,-1,1,-1
76,72524579,43.0292587,-76.1322322,4,136.356244,1,1,-1
77,72524579,43.0290972,-76.1322144,4,136.4790295,1,1,-1
77,1458493498,43.0288415,-76.1212484,4,136.2782161,8,1,-1
77,998966060,43.044992,-76.2488948,4,999,-1,1,-1
77,528871576,43.0753043,-76.1819974,4,129.3373133,7,1,-1
78,1737904745,43.0676298,-76.1682071,4,113.6589306,7,1,-1
78,60575480,43.0462033,-76.2309351,4,135.8465872,9,1,-1
78,72524579,43.0289357,-76.1321966,4,136.6006731,1,1,-1
78,234184799,43.0293906,-76.1209458,4,136.5296458,8,1,-1
78,519169945,43.037516,-76.1335518,4,999,-1,1,-1
79,1509440266,43.0341468,-76.1290698,4,132.7738229,1,1,-1
79,528871576,43.0749824,-76.1820474,4,129.0793196,7,1,-1
79,1708706542,43.0274006,-76.0504405,4,999,-1,1,-1
79,1424164685,43.035927,-76.1353131,4,129.7867623,1,1,-1
80,1737904745,43.0673335,-76.1680281,4,127.2975586,7,1,-1
80,1708706542,43.0273791,-76.0506594,4,999,-1,1,-1
80,1691499641,43.0802779,-76.1738573,4,131.6279473,7,1,-1
80,923988192,43.050332,-76.2386556,4,136.0243063,9,1,-1
80,757675095,43.0701849,-76.1653973,4,120.9085874,7,1,-1
81,72524579,43.0284512,-76.1321436,4,136.9589588,1,1,-1
81,1509440266,43.0339483,-76.1287206,4,133.0521652,1,1,-1
81,1737904745,43.0671853,-76.1679386,4,114.9913972,7,1,-1
81,923988192,43.0502954,-76.2384404,4,135.9485144,9,1,-1
81,998966060,43.0448802,-76.2480244,4,999,-1,1,-1
82,1458493498,43.0282739,-76.1204605,4,135.6522283,8,1,-1
82,1707145787,43.0758406,-76.1718251,4,125.6048302,7,1,-1
82,60575480,43.0459216,-76.2301392,4,135.8597877,9,1,-1
82,998966060,43.0448522,-76.2478068,4,999,-1,1,-1
82,519169945,43.0371673,-76.1328071,4,128.3957512,1,1,-1
83,1737904745,43.0668889,-76.16776,4,115.8857333,7,1,-1
83,1053069655,43.0517416,-76.2338137,4,132.8782487,9,1,-1
83,1691499641,43.080189,-76.1732054,4,131.4813199,7,1,-1
83,1458493498,43.0281596,-76.1203039,4,139.202846,1,1,-1
83,234184799,43.0287771,-76.1202246,4,138.8975293,1,1,-1
84,1458493498,43.0280451,-76.1201477,4,135.3930986,8,1,-1
84,234184799,43.0286537,-76.1200814,4,138.998039,1,1,-1
84,1691499641,43.0801594,-76.1729881,4,131.4366533,7,1,-1
84,757675095,43.069761,-76.1647286,4,121.7434923,7,1,-1
84,1947862555,43.0293981,-76.1343017,4,136.1231808,1,2,1
84,60575480,43.0457806,-76.2297414,4,135.8741258,9,1,-1
85,60575480,43.04571,-76.2295426,4,135.8832165,9,1,-1
85,799714932,43.0325444,-76.133042,4,999,-1,1,-1
85,519169945,43.0369044,-76.1322497,4,999,-1,1,-1
85,234184799,43.0285301,-76.1199386,4,135.6539893,8,1,-1
85,1917919405,43.0804349,-76.1742929,4,131.9223475,7,2,1
86,1458493498,43.0278152,-76.1198364,4,135.1286681,8,1,-1
86,799714932,43.0323883,-76.1329828,4,133.6738961,1,1,-1
86,1947862555,43.0290741,-76.1343085,4,136.3718164,1,2,1
86,72524579,43.0276436,-76.1320559,4,137.5351112,1,1,-1
86,1708706542,43.0272498,-76.0519727,4,999,-1,1,-1
87,757675095,43.0694426,-76.1642277,4,122.4107171,7,1,-1
87,799714932,43.0322322,-76.1329238,4,133.8237992,1,1,-1
87,127265642,43.0375601,-76.1288607,4,129.4821276,1,1,-1
87,1053069655,43.0515812,-76.2329575,4,132.5616954,9,1,-1
87,1947862555,43.0289121,-76.1343119,4,136.4943887,1,2,1
88,72524579,43.0273206,-76.1320211,4,139.3662737,8,1,-1
88,1509440266,43.0332479,-76.1275046,4,133.9986377,1,1,-1
88,1947862555,43.0287501,-76.1343153,4,136.6158258,1,2,1
88,1053069655,43.0515411,-76.2327435,4,132.4854531,9,1,-1
88,519169945,43.0366404,-76.1316934,4,999,-1,1,-1
88,127265642,43.0376132,-76.128652,4,129.5207582,1,1,-1
89,1691499641,43.0800107,-76.1719017,4,131.2469384,7,1,-1
89,1458493498,43.0274683,-76.1193724,4,134.7215881,8,1,-1
89,998966060,43.0446561,-76.2462837,4,999,-1,1,-1
89,1708706542,43.0271851,-76.0526294,4,999,-1,1,-1
89,127265642,43.0376664,-76.1284433,4,129.5623974,1,1,-1
90,60575480,43.0453568,-76.2285485,4,135.9476544,9,1,-1
90,234184799,43.0279088,-76.11923,4,134.9899592,8,1,-1
90,1458493498,43.027352,-76.1192185,4,134.5829916,8,1,-1
90,2030645982,43.025568,-76.0403725,4,999,-1,1,-1
90,757675095,43.0691237,-76.1637273,4,137.275794,7,1,-1
91,203254937,43.0820484,-76.1841176,4,135.7198214,7,1,-1
91,2008179199,43.037946,-76.1319008,4,127.5093233,1,1,-1
91,528871576,43.0730504,-76.1823453,4,127.65534,7,1,-1
91,757675095,43.0690173,-76.1635606,4,123.3269817,7,1,-1
91,60575480,43.0452861,-76.2283498,4,135.9642866,9,1,-1
91,1458493498,43.0272355,-76.119065,4,134.4428903,8,1,-1
92,1458493498,43.0271187,-76.118912,4,134.3012508,8,1,-1
